,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-05-01 06:59:59.999,1619844300000,4.61960000,4.69970000,4.55110000,4.67700000,172376.40000000,1619845199999,794075.04577000,2124,85116.00000000,392273.54626000,0
2021-05-01 07:14:59.999,1619845200000,4.67800000,4.78980000,4.67700000,4.77700000,115931.80000000,1619846099999,549256.30138000,1482,51382.30000000,243265.80150000,0
2021-05-01 07:29:59.999,1619846100000,4.77690000,4.85000000,4.67510000,4.72350000,222763.60000000,1619846999999,1064217.48417000,2342,95341.70000000,454155.74684000,0
2021-05-01 07:44:59.999,1619847000000,4.72260000,4.76040000,4.66790000,4.73020000,75576.80000000,1619847899999,355682.60505000,989,36614.00000000,172499.35690000,0
2021-05-01 07:59:59.999,1619847900000,4.73340000,4.80000000,4.70000000,4.73000000,77808.20000000,1619848799999,370068.07714000,1124,38151.30000000,181828.21379000,0
2021-05-01 08:14:59.999,1619848800000,4.72410000,4.73900000,4.63600000,4.65520000,78215.70000000,1619849699999,367013.39707000,1133,36861.80000000,172903.04652000,0
2021-05-01 08:29:59.999,1619849700000,4.65520000,4.79980000,4.64390000,4.66770000,66966.80000000,1619850599999,315534.20027000,1017,32377.10000000,152796.29643000,0
2021-05-01 08:44:59.999,1619850600000,4.66910000,4.71880000,4.60000000,4.60840000,112666.30000000,1619851499999,522135.54317000,1382,43241.60000000,200812.66750000,0
2021-05-01 08:59:59.999,1619851500000,4.60840000,4.67980000,4.60100000,4.65000000,62356.80000000,1619852399999,289263.75250000,866,34479.80000000,159961.22299000,0
2021-05-01 09:14:59.999,1619852400000,4.65080000,4.65080000,4.40000000,4.52660000,386705.30000000,1619853299999,1753076.70376000,3873,153507.40000000,696709.01176000,0
2021-05-01 09:29:59.999,1619853300000,4.52170000,4.62970000,4.49560000,4.56730000,130986.60000000,1619854199999,598735.97530000,1815,63425.80000000,289969.10640000,0
2021-05-01 09:44:59.999,1619854200000,4.56010000,4.62000000,4.53000000,4.59110000,76351.20000000,1619855099999,349587.73390000,1249,36446.70000000,167103.73723000,0
2021-05-01 09:59:59.999,1619855100000,4.59540000,4.63000000,4.55000000,4.62410000,106120.60000000,1619855999999,486727.84926000,1113,66560.50000000,305448.72268000,0
2021-05-01 10:14:59.999,1619856000000,4.62410000,4.80000000,4.62080000,4.75840000,223516.00000000,1619856899999,1052630.90952000,2227,143360.00000000,675242.87748000,0
2021-05-01 10:29:59.999,1619856900000,4.75870000,4.84710000,4.64780000,4.68010000,190671.30000000,1619857799999,903286.78696000,2180,83835.60000000,398008.28717000,0
2021-05-01 10:44:59.999,1619857800000,4.68210000,4.69610000,4.61330000,4.63010000,120085.50000000,1619858699999,557782.00450000,1241,62560.00000000,290657.79464000,0
2021-05-01 10:59:59.999,1619858700000,4.63020000,4.75000000,4.60010000,4.62730000,215415.30000000,1619859599999,1007112.80513000,1970,124006.70000000,580591.21709000,0
2021-05-01 11:14:59.999,1619859600000,4.62730000,4.64840000,4.49060000,4.57580000,395353.60000000,1619860499999,1802445.72068000,2556,154145.30000000,703404.61976000,0
2021-05-01 11:29:59.999,1619860500000,4.58330000,4.68000000,4.57040000,4.65000000,146046.80000000,1619861399999,675219.50476000,1499,77011.20000000,355623.07347000,0
2021-05-01 11:44:59.999,1619861400000,4.65000000,4.69850000,4.62000000,4.64550000,84896.20000000,1619862299999,395159.57492000,1202,38992.20000000,181590.09601000,0
2021-05-01 11:59:59.999,1619862300000,4.64550000,4.75740000,4.62080000,4.70940000,220348.70000000,1619863199999,1036999.50757000,2161,90027.00000000,423753.43667000,0
2021-05-01 12:14:59.999,1619863200000,4.70920000,4.71200000,4.64070000,4.69550000,86438.30000000,1619864099999,405475.62309000,990,37705.60000000,176814.66805000,0
2021-05-01 12:29:59.999,1619864100000,4.69550000,4.87820000,4.68490000,4.87200000,406868.40000000,1619864999999,1954456.18686000,3760,191189.60000000,919611.99244000,0
2021-05-01 12:44:59.999,1619865000000,4.87780000,5.00640000,4.75000000,4.78610000,609144.40000000,1619865899999,2990430.16497000,5498,286655.20000000,1410967.88813000,0
2021-05-01 12:59:59.999,1619865900000,4.78610000,4.90710000,4.78610000,4.81200000,150175.50000000,1619866799999,727207.89622000,1846,84360.90000000,408861.11128000,0
2021-05-01 13:14:59.999,1619866800000,4.81310000,4.81730000,4.70160000,4.72850000,183521.60000000,1619867699999,871424.23270000,1964,86192.10000000,409982.23190000,0
2021-05-01 13:29:59.999,1619867700000,4.72750000,4.89990000,4.70200000,4.77700000,138989.90000000,1619868599999,665260.36221000,1756,63419.80000000,304035.74642000,0
2021-05-01 13:44:59.999,1619868600000,4.77850000,4.81000000,4.69440000,4.74000000,240930.00000000,1619869499999,1136270.32170000,1720,151340.60000000,712807.42460000,0
2021-05-01 13:59:59.999,1619869500000,4.74000000,4.77000000,4.73300000,4.73990000,89039.60000000,1619870399999,422379.46463000,757,24284.20000000,115315.75891000,0
2021-05-01 14:14:59.999,1619870400000,4.74100000,4.84360000,4.73990000,4.83490000,113201.90000000,1619871299999,542484.09377000,1074,59648.20000000,285705.95259000,0
2021-05-01 14:29:59.999,1619871300000,4.82100000,4.96990000,4.82010000,4.85770000,397541.00000000,1619872199999,1947624.78920000,3789,213682.30000000,1047777.22134000,0
2021-05-01 14:44:59.999,1619872200000,4.85810000,4.89210000,4.81990000,4.89210000,92413.70000000,1619873099999,448541.50621000,1183,45854.90000000,222800.38614000,0
2021-05-01 14:59:59.999,1619873100000,4.87190000,4.93200000,4.81310000,4.82880000,120608.90000000,1619873999999,589447.26149000,1530,57557.00000000,281320.02050000,0
2021-05-01 15:14:59.999,1619874000000,4.81820000,4.90330000,4.81300000,4.87800000,178444.50000000,1619874899999,863884.38369000,1372,87494.20000000,423961.12543000,0
2021-05-01 15:29:59.999,1619874900000,4.87800000,5.06370000,4.86040000,5.06120000,404134.00000000,1619875799999,2003958.62890000,2700,203210.20000000,1011334.12179000,0
2021-05-01 15:44:59.999,1619875800000,5.04840000,5.43000000,4.99960000,5.32880000,2000073.00000000,1619876699999,10455626.16724000,13751,1061999.60000000,5541538.43212000,0
2021-05-01 15:59:59.999,1619876700000,5.32750000,5.76180000,5.15800000,5.63190000,2116534.20000000,1619877599999,11608231.62375000,14185,1095206.90000000,5999180.06857000,0
2021-05-01 16:14:59.999,1619877600000,5.62210000,5.65610000,5.33940000,5.40040000,1174754.70000000,1619878499999,6423026.68184000,9682,589347.70000000,3221091.93633000,0
2021-05-01 16:29:59.999,1619878500000,5.40040000,5.44880000,5.20000000,5.32000000,882739.50000000,1619879399999,4703886.55457000,6565,409510.80000000,2187188.35777000,0
2021-05-01 16:44:59.999,1619879400000,5.31990000,5.55550000,5.22220000,5.55050000,809722.10000000,1619880299999,4362770.40571000,5485,465205.90000000,2500581.12858000,0
2021-05-01 16:59:59.999,1619880300000,5.55000000,5.85000000,5.53310000,5.73880000,1736703.10000000,1619881199999,9927638.91471000,14696,874442.20000000,4996627.88993000,0
2021-05-01 17:14:59.999,1619881200000,5.72580000,6.10000000,5.71230000,5.90430000,2631868.10000000,1619882099999,15618166.80014000,20053,1181832.70000000,7009048.30623000,0
